Easy Peasy,零距離,屬於你,白晝將盡,Reset,門,絕對值,我反芻著你留下的寂寞,今天星期六,我就想你,好方法,一定會的,在地球爆炸之前,太陽雨,我要用黑魔法把你變成一隻魚,再一次就好,撲火的蝶,愚者,行星,騎士墜鬼馬,你討厭也沒關係,不能寂寞的人,我是你的Bling Bling,絕地花園,寂寞的大孩子,再說,我還沒有作好被打倒的準備,絕地花園,天真世界的叛徒－天真版,天真世界的叛徒－叛徒版,滯留鋒,Dear Star,平衡木,夏夜煙火,獨角仙的夢,不是因為天氣晴朗才愛你,你留給我的遺憾無以名狀,習慣不習慣,漂鳥,當我們的手勇敢緊握
還是要 還是要笑著告訴自己,浩瀚星空無垠,每次道別離 偷偷凝望你,掏空了山與海 碎片裡尋找著出口,關掉蠻橫的自卑,疼痛證明活著,友情愛情 幾分之幾,以為終究能消化成自由,為什麼不懂我 難道愛我都是在吹牛,開始把你說的每一句話放在心上,每一個晚上 翻來又覆去直到天亮,生命如綿長阡陌 必經歷蜿蜒迷惑,倒數三秒 開始行動,啦啦啦啦啦啦 你就下吧,而我也變成了空氣,喜歡你 回望著我也上揚的嘴角,沒什麼 不過是有點特別,傻裡傻氣地在 每一個今天的夢想中醒來,你成為了定律我放棄了時間,時間的籌碼 全梭了太不像話,你是怎麼了 不想再說對不起了,再也不會寂寞了 好的未來就要來了,該不該穿個襯衫 頭髮點兒彎彎,誰再一次否決 再一次用謊言掩蓋歧見,寂寞的大孩子啊,只要陪在你的身邊,就算心淌著血 失去所有夢和眼淚,誰再一次否決 再一次用謊言掩蓋歧見,喜怒哀樂讓人看不清楚,喜怒哀樂讓人看不清楚,生命 總要人一再地練習,你無聲領航 愛的方向,平衡木上我和你,我無從找起愛過你的理由,飛回童年的鄉間,牽著你走過,樹遇火光 我們都無法躲藏,習慣想念用一句晚安帶過,而我終究會不再淚流...,趕走烏雲後畫上彩虹
"Easy peasy, lemon squeezy",如果能再遇見你,再見 用最短的距離,懸日枯萎在視線盡頭,關掉病態的自戀,悲傷幸運都是訪客,遲遲無法下筆 困在你給的圓周裡,而你已不回頭 你已不回頭,"Oh my Saturday,",才發現原來很久沒這樣,美好的想像 在腦海裡像電影般循環播放,才懂得微笑理由,在地球爆炸之前 我們還有多少時間,你儘管怎麼張狂,我們就不必再分離,再一次就好 我想我做得到,還不如當隻撲火的蝶,放手所有過去未來 只擁抱此刻的燦爛,轉過了一天過了一季過一年,世界別讓我看著自己的靈魂死亡,沒做錯什麼可愛又認真 到底哪裡惹到你了,相信著美好 它正在發生,太矮再配個Martin,不安於世的罪 是驕傲的註解,她的臉龐曾是誰親吻的花啊,聞著你的香味,攀著懸崖邊緣 疼痛已無所謂,不安於世的罪 是驕傲的註解,那就對了 這就是大人必備的技術,那就對了 這就是大人必備的技術,練習勇敢 練習把疼痛忘記,我因你學會驕傲堅強,來回時而欲墜幸運總時而降臨,停格畫面零碎成記憶煙火,跟我往前飛 在翅膀都風乾以前,大雨盛開水花的路口,以為的天堂 卻是行空的天馬,習慣獨自入夢,日落的時候 偶爾不自覺想起,滿天的星空開始閃爍
跌倒的姿勢要帥氣,你是否願意再與我同行,在我的星球 你是萬有引力,最後的禱文 懺悔不曾犯過的錯,關掉暴力和偏見 堆砌的霸權,好壞不需要誰認可,解不開的難題 原來是你,我為何還原地守候,不想再有期待 anymore,閉上眼看天空,"Oh, they tell me it's love",珍惜擁有 也得失去過才懂,口袋裡願望沒實現 現在就是最好機會,我就是我的晴朗,啊 啊 如果你是魚我是空氣,勇敢去擁有我們的美好,自得其樂好過無人知曉的凋萎,旅行的起點不需要形狀,你一如往常發著光 而我就這樣,誰還記得從前從前,吃了炸藥 就待在家好好休息,再也不會寂寞了,每天都是我的主場秀 為你精心準備我的主場秀,從現在起拒絕 一張張偽善臉孔 全都被打碎,寂寞的大孩子啊,我就會 窩屋窩屋窩,我不後退 哪怕輸了一切回到原點,從現在起拒絕 一張張偽善臉孔 全都被打碎,我是來自天真世界的一名叛徒,我是來自天真世界的一名叛徒,我會陪著你在這雨中旅行,親愛的你,我的膽小透明 乘著你溫柔勇氣,盛放了夏夜空 燃燒 然後墜落,能飛多遠 就飛更遠一點,也是我一樣喜歡的夢,你留給我的遺憾 無以名狀,卻不習慣你不在我左右,你是否已經在哪裡,當我們的手勇敢緊握
就算狼狽也要率性,零距離一顆星星 兩顆心,無論再小心仔細 卻已經留下,灰佔據了眼底 抬頭不見星,關掉多數的奪掠,選擇我的選擇,明明曾經靠近 我卻自作聰明,在每個午夜的夢 複習著你溫柔,但是下一個週末 還是想牽你去兜兜風,看不見記憶中那種浪漫,"Yeah, they tell me it is love",別怕我傷得太重 我一定會犯錯,不准你猶豫不決,空氣中潮濕的氣味,我就是你看似不必須卻不可或缺的,每個熟悉街景 都是你身影,沒什麼 我就是有點特別,只要心已經開始流浪,安靜地被遺忘,好結局的童話上演不上演,如果更年期......,我們好像 都是那種不能寂寞的人,拿著麥克風 我跟我自己說,迷霧散去的原野將風光明媚,他的掌紋曾是誰安睡的星空啊,再說 我喜歡你專注的側臉,我並不會作好被打倒的準備,迷霧散去的原野將風光明媚,勉強地融入 這謊言堆砌的國度,勉強地融入 這謊言堆砌的國度,直到微笑再次變得容易,我要給你一個大大的擁抱,一躍 安全降落愛情,餘燼再沒有你一絲挽留,去找回綠色的夏天,不是因為天氣晴朗才愛你,太過膚淺的青春 成了珍藏,習慣了用微笑代替揮手,擁抱了你真心嚮往的愛情,有一天 當你發覺
"Easy peasy, lemon squeezy",三個願望 四不分離,心動的痕跡,執迷推遲善意 萬籟皆俱寂,關掉虛偽的假面,誰知道下一扇門 通往哪裡呢,推不出的邏輯 為何是你,是我太執著 還是你也留戀卻不說,今天星期六 Put on my fancy coat,而是那說不出,有沒有什麼好方法,卻也一定會再成長很多,有翅膀就要飛 有翅膀就飛,配上戒不掉的咖啡,我要用黑魔法把你變成一隻魚,雲淡究竟怎麼風輕,沒什麼 我就是不想隨便地告別,他背起行囊 裝進天真理想,我獨自盤旋在看得見你的軌道,真心話大冒險 真心沒了硬著頭皮大冒險,被你討厭也沒關係 反正我也不是生來討你開心,不能獨自在咖啡廳等待日落的人,沒有觀眾也給你看個脫口秀,再勇敢一點 潰堤的淚水 不代表妥協,寂寞的大孩子啊,又為你著迷 有誰能夠比 No No No,就算心已破碎 反射月光照亮黑夜,再勇敢一點 潰堤的淚水 不代表妥協,掩飾每個錯 每個誤,掩飾每個錯 每個誤,我還會 在季風睡去的夜晚,黑夜過去 總會破曉,時光暫停 當你緩緩走近,也沒有我強求,成群的孩子 低著頭越過斑馬線,不是因為看見星星才想你,你留給我的情話 依然滾燙,在每個又要分開的時候,我終究 不是他的天空,全世界跟你作對的時候
人生不如意十之八七,午夜看流星雨劃過天際,我會是你秘密武器,末日醒悟人性 失明才看清,關掉甜膩的謊言,總要闖了才曉得,深藏抽屜裡寫滿我遺憾的筆記,貪婪至此不願放手 成了思念的魔,提前到了你家門口 還梳個油頭,我真的好喜歡你的遺憾,把你的笑好好珍藏,請放心地看著我 陪著我享受其中,在地球爆炸之前 再來一場華麗冒險,待辦事項總是一大堆,你用氣泡吐出一句我愛你,眼淚已隨時間 逐漸地乾涸,溫室裡的玫瑰,手中的地圖沒標示方向,仰望著你一圈再一圈的圍繞,讓我再許一個願 許他們白頭偕老不分別,我就要做自己 麻煩你滾一邊去,一杯全糖的溫熱 卻還是苦澀,你不懂070802 藏著多少秘密排列組合,別讓自卑淹沒 你所有的視線,她的臉龐曾是誰親吻的花啊,再說 我期待我們有那一天,不是倔強的刺蝟 是勇敢的蝴蝶,別讓自卑淹沒 你所有的視線,試圖成為人群中最安全的眾數,試圖成為人群中最安全的眾數,夢見你說 明天就要放晴,讓我牽著你翱翔 每一刻寬廣,深邃的微笑是精靈的邀請,我無從找起愛過你的理由,誰偷走了他們 頭上的星點,不是因為剛好沒有別的事,夜裡喔嗚喔喔喔 耶耶咿耶耶,習慣了遠距離,當他渴望湛藍和雲朵,要記得
?持?要鬆不要緊,再和你騎著火箭 往前進,趕走每一片 烏雲,白晝將盡 破壞才有生機,關掉鱷魚的眼淚,生命的旅程 多蜿蜒曲折,把負數變為正數,是我太執著 還是你也留戀卻不說,電鈴按半個鐘頭,不是我懷疑 而是我在意,我就想守護 你這個大寶藏,再繼續繼續往前走,偉大不一定卓越 有時只要瘋狂一點點,卻忍不住一直拖延,美好結局可不可以不只在夢裡,記憶裡的你卻越發清澈,再鮮豔不過調色盤上一滴血,只有與生俱來的渴望,我不能靠近 卻也不願遠離,時代的冷屁股 和我的熱臉,你越討厭我越開心 被你這種人喜歡我才要擔心,只是因為 一個人少了一個人,何不就你聽我唱如何 跟著旋律定義這個時刻,倔強跨越那些不完美,滲出的記憶染白了頭髮,那天我和你 不再有距離 No No No,我還能飛 就無懼遙遠,倔強跨越那些不完美,好不孤獨,好不孤獨,一連下了好幾個月的雨,"Hey, my dear star",屏住呼吸 我們小心翼翼,停格畫面零碎成記憶煙火,無止盡改變 今日的柏油昨日的森野,才一直一直一直,你留給我的美麗 也無以名狀,卻不習慣告訴你 我多需要你,迎著風 揮動了翅膀去擁有遼闊,原來的我
急剎車的公車司機,把你的美 收藏心底,保護著你 只要你願意,切莫溫馴地步入良夜,蒸餾出的罰與罪,可若不曾走過 怎麼留下一些什麼,畫上絕對值就能得出,貪婪至此不願放手 成了思念的魔,等著仙女下凡怎麼一個人也沒有,我只是在意你有沒有一樣在意我,你什麼都好 但就是有個地方,一定會的 曙光驅散那灰濛的天空,讓衝動自由蔓延 跨越夢的奇異點,窗外天色一片灰黑,魚 你在我的腦海裡游來游去,依然讓我心動著,演著孤芳自賞自艾自憐,沒想過投降 混蛋一樣地闖,習慣在你影子裡遊戲我的孤寂,騎士墜鬼馬 你要帶我飛向何方,我是不是和你 一樣頭殼有問題,再也不能寂寞了 自從愛介入我們,"I say wait, give me one more second",再坦然一些 白晝或黑夜 都值得紀念,故事也渲暈成晚霞,再說,世界擁有 千萬個擊潰我的理由,再坦然一些 白晝或黑夜 都值得紀念,時間 你為何帶來成長,什麼是真的 什麼是假的,麻木的心就像 摔落泥濘的紙飛機,喜歡看你笑容模樣,擺放天平上完美劑量的濃郁,盛放了夏夜空 燃燒 然後墜落,前進還是後退,在腦海裡複習,底片裡的我們活像夏卡爾的畫,為何看著你卻又沉默不語,他終究 是場太美的夢,美麗地綻放花朵
喝兩口就打翻的多多綠,你就是我星際旅行的目的地,勇敢說愛我 如果你也是這樣相信,箴言的嘴 也能將燭火給吹滅,關掉一切,用力推開那一扇門,卻卻不能 把不愛我的你,是我太執著 還是你也留戀卻不說,今天星期六 On my way to salon,到頭來 想著你的笑容是我最幸福的時候,特別讓人牙癢癢,一定會的 蔚藍之下盛開彩色的夢,腦海裡的藍圖多的很 什麼時候才能完成,但夢想是住在心裡面,魚 察覺不到我溶化在水裡,看著你 不必多說什麼也會微笑,再精彩不過是類似你的左邊右邊,受了傷還不停下 人們笑愚者多傻,你成為了定律我放棄了時間,海市蜃樓還是香格里拉,你現在就給我閉嘴 從今天起我再也不要,也許時空暫時區隔 想念牽引著每個時刻,Me and Bestards wanna kill it on the stage,去細數故事裡 無論甜美心碎,晚霞裡月亮輕輕牽著他,We always say good night,可我有不認輸的自由,去細數故事裡 無論甜美心碎,時間 你為何帶來成長,什麼是對 什麼是錯,雨為什麼不停 天空沒有回應,我知道 花花世界太複雜,我不是太擅長不著邊際的遊戲,餘燼再沒有你一絲挽留,有沒有一座花園 很美,擁抱你 什麼角度最合適,你留給我的憂傷 只能吟唱,忘記所有該表的情 該聊的甜蜜,而我終究會不再淚流...,而我們的愛
博愛座的阿姨 表情像燈籠魚,已錯過的愛情,那顆星星 就會永遠屬於你,造物的手 也可以選擇摧毀,"Reset, Reset, Reset, Reset……",橫衝直撞那又如何,變成 愛我的,貪婪至此不願放手 成了思念的魔,提前就約了好朋友 from San Francisco,又同樣回到,要曖昧多久 才能讓你的心也不再流浪,寬容 你眼中不夠完整的我,天殺的計畫又怎麼了 突如其來什麼波折,你說：只有自己能實現,我是優雅的空氣,喜歡你 回望著我也上揚的嘴角,還不如當隻撲火的蝶,但不在乎終點模樣 才能開始得漂亮,轉過了一天過了一季過一年,時間的籌碼 全梭了太不像話,再也不要逆來順受,再也不會寂寞了 好的未來就要來了,Hey 別急著先哽咽 面紙擦眼淚,傷口也能開出燦爛的玫瑰,走向 更遠的地方,聊到凌晨四點半也不算晚,我還沒有作好被打倒的準備,傷口也能開出燦爛的玫瑰,時間 你為何帶來成長,長大後的我們 什麼都不知道了,你不再哭 學著相信自己,我願意陪著你一起去闖,卻因你沉溺,也沒有我強求,光臘樹盛開鮮豔,其實我 常會想像我們老了的樣子,成了喔嗚喔喔喔 耶耶咿耶耶,好不容易 見上了一面卻又怯了情,而我留下一扇窗口,我要大聲地說
往波蘭的機票我立刻下訂,失去才懂珍惜,屬於你,箴言的嘴 也能將燭火給吹滅,"Reset, Reset, Reset, Reset……",疼痛證明活著,得不到的愛情 原來是你,是我太執著 還是你也留戀卻不說,想說今天難得週六,上一個下不停的大雨中,我一直在想 有沒有什麼好方法,執意把勇氣揮霍 才不覺錯過,旅程必然會迷惘 誰不是一路跌跌撞撞,啦啦啦啦啦啦 你就下吧,啊 啊 如果你變成了魚,再一次就好 我想我做得到,他們都說你錯了 你不該撲火的,在每一個今天的笑容中醒來,你一如往常發著光 而我就這樣,世界別讓我看著自己的靈魂死亡,我要以牙還牙以眼還眼以毒攻毒一二三四五六七八,相信著美好 它正在發生,讓我為你再唱一首歌 這專屬於你,我喜歡你無畏的雙眼,滲出的記憶染白了頭髮,我只想聽你再多說一點 就那麼一點,就算心淌著血 失去所有夢和眼淚,我喜歡你無畏的雙眼,又想狠狠帶走 最簡單的嚮往,我是來自天真世界的一名叛徒,讓我陪著你在這雨中旅行,親愛的你,平衡木上的愛情,我已想不起你的表情 在你走的時候,霧霾中睜開雙眼 卻看見,左邊牽著手 右手拉小狗,恨不得恨不得把你給忘了,討厭這樣的自己,不再為誰守候,不管多難也要一直走
